,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
106,TCS,EQ,16-Oct-17,2558.6,2555.05,2590.0,2555.05,2587.0,2584.4,2577.86,609295,1570677295.0,50285,381873,62.67,10,2017,2486.8089049188416,0.010083639490346297,Slight positive
107,TCS,EQ,17-Oct-17,2584.4,2585.0,2614.95,2577.55,2594.6,2594.55,2598.37,721508,1874743481.0,33284,421119,58.37,10,2017,2487.5202190152245,0.00392741061755153,Slight positive
108,TCS,EQ,18-Oct-17,2594.55,2595.0,2613.65,2580.0,2592.0,2586.6,2588.24,757072,1959481782.0,27424,556509,73.51,10,2017,2488.2018713123125,-0.003064115164479464,Slight positive
109,TCS,EQ,19-Oct-17,2586.6,2592.0,2595.8,2571.0,2583.4,2583.9,2581.96,43411,112085629.9,2351,13869,31.95,10,2017,2488.2396087686284,-0.0010438413361167909,Slight positive
110,TCS,EQ,23-Oct-17,2583.9,2584.0,2629.0,2547.45,2590.0,2587.9,2599.06,943044,2451028659.0,58735,720214,76.37,10,2017,2489.0860940488255,0.0015480475250591041,Slight positive
111,TCS,EQ,24-Oct-17,2587.9,2620.0,2620.9,2569.05,2575.0,2578.4,2581.12,669510,1728088703.0,44454,495808,74.06,10,2017,2489.6214344967066,-0.003670930097762648,Slight positive
112,TCS,EQ,25-Oct-17,2578.4,2578.5,2614.0,2555.0,2560.0,2559.9,2580.66,552553,1425951633.0,38719,362115,65.53,10,2017,2489.9673799663947,-0.007174992243251577,Slight positive
113,TCS,EQ,26-Oct-17,2559.9,2535.1,2569.15,2517.9,2531.7,2538.85,2541.16,1503776,3821328695.0,52192,1032027,68.63,10,2017,2490.6135830234516,-0.008222977460057068,Slight positive
114,TCS,EQ,27-Oct-17,2538.85,2538.0,2593.15,2530.3,2580.0,2584.3,2567.39,704635,1809074619.0,34346,505106,71.68,10,2017,2491.1903366727975,0.01790180593575852,Slight positive
115,TCS,EQ,30-Oct-17,2584.3,2586.0,2620.0,2581.7,2615.1,2616.2,2606.79,568626,1482289818.0,21542,350603,61.66,10,2017,2491.808306971944,0.01234376813837379,Slight positive
116,TCS,EQ,31-Oct-17,2616.2,2601.3,2640.0,2601.3,2618.75,2624.0,2627.82,796317,2092579457.0,45128,558622,70.15,10,2017,2492.717155002198,0.0029814234385749927,Slight positive
117,TCS,EQ,1-Nov-17,2624.0,2624.0,2626.85,2578.85,2607.75,2602.85,2593.88,370941,962175485.8,28138,196048,52.85,11,2017,2493.0687430925927,-0.008060213414634143,Slight positive
118,TCS,EQ,2-Nov-17,2602.85,2608.5,2674.0,2606.75,2623.05,2626.15,2639.78,734211,1938158859.0,29980,406095,55.31,11,2017,2493.9043743203893,0.008951725992661919,Slight positive
119,TCS,EQ,3-Nov-17,2626.15,2632.4,2636.7,2602.8,2622.0,2620.1,2619.76,333443,873540922.1,29606,214694,64.39,11,2017,2494.2632186488204,-0.0023037526416999077,Slight positive
120,TCS,EQ,6-Nov-17,2620.1,2620.0,2671.8,2611.75,2660.15,2665.55,2641.62,688500,1818752069.0,61866,527626,76.63,11,2017,2495.263047119892,0.017346666157780355,Slight positive
121,TCS,EQ,7-Nov-17,2665.55,2670.0,2768.0,2666.05,2710.0,2710.05,2718.44,1348446,3665665142.0,61294,584060,43.31,11,2017,2497.6907882180544,0.016694490818029983,Slight positive
122,TCS,EQ,8-Nov-17,2710.05,2723.0,2759.0,2718.25,2737.0,2735.0,2741.21,701126,1921934581.0,48744,444618,63.41,11,2017,2499.077310004462,0.00920647220530979,Slight positive
123,TCS,EQ,9-Nov-17,2735.0,2750.0,2750.0,2719.3,2740.0,2736.4,2732.42,576216,1574462790.0,27786,370073,64.22,11,2017,2500.211433148149,0.000511882998171842,Slight positive
124,TCS,EQ,10-Nov-17,2736.4,2722.2,2726.0,2693.35,2710.0,2708.75,2706.84,678283,1836006501.0,22485,456167,67.25,11,2017,2501.3779654212412,-0.010104516883496562,Slight positive
125,TCS,EQ,13-Nov-17,2708.75,2702.05,2777.4,2702.05,2756.55,2758.95,2757.27,748498,2063808990.0,44504,379983,50.77,11,2017,2502.958180396093,0.018532533456391276,Slight positive
126,TCS,EQ,14-Nov-17,2758.95,2756.55,2756.55,2707.5,2710.0,2714.6,2718.61,828626,2252715047.0,50733,554011,66.86,11,2017,2504.3859140288864,-0.01607495605212128,Slight positive
127,TCS,EQ,15-Nov-17,2714.6,2706.0,2755.0,2701.35,2710.0,2705.3,2736.73,3335417,9128129059.0,47448,2841173,85.18,11,2017,2509.6973508223277,-0.003425919104103614,Slight positive
